"","DBA","BUS NAME","BUSINESS ID","LOC NO","LOC NO SUFF","LOC PRE DIR","LOC STREET","LOC STREET TYPE","LOC UNIT TYPE","LOC APT","LOC CITY","LOC STATE","LOC ZIP","...14","BUS PHONE","EMAIL","address...17","lon","lat","address...20"
"471","JEWEL FOOD STORE 1074","JEWEL FOOD STORES","1194",1401,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-725-9880","NASC.TAX@SAFEWAY.COM","1401 JEFFERSON JOLIET IL 60435",-88.1158674,41.5251021,"1401 w jefferson st, joliet, il 60435, usa"
"472","JEWEL FOOD STORE 224","JEWEL FOOD STORES","1190",1537,NA,"NORTH","LARKIN","AVENUE",NA,NA,"JOLIET","IL","60435",NA,"815-725-4407","LICENSEGROUP@SUPERVALU.COM","1537 LARKIN JOLIET IL 60435",-88.127461,41.5508882,"1537 n larkin ave, joliet, il 60435, usa"
"473","JEWEL FOOD STORE 80","JEWEL FOOD STORES","1198",2480,NA,NA,"RT 59",NA,NA,NA,"PLAINFIELD","IL","60586",NA,"815-254-3291","JESSE.BEDOLLA@JEWELOSCO.COM","2480 RT 59 PLAINFIELD IL 60586",-88.1981762,41.5663684,"2480 illinois rte 59, plainfield, il 60544, usa"
"474","JIFFY LUBE 233","JLQ INC","1646",1600,NA,"NORTH","LARKIN","AVENUE",NA,NA,"JOLIET","IL","60435",NA,"815-744-2325","JLOSERV@HOTMAIL.COM","1600 LARKIN JOLIET IL 60435",-88.1255353,41.5519687,"1600 n larkin ave, joliet, il 60403, usa"
"475","JIFFY LUBE 2567","JLQ INC","1647",1644,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"773-318-4937","JLOSERV@HOTMAIL.COM","1644 JEFFERSON JOLIET IL 60435",-88.1219943,41.5224471,"1644 w jefferson st, joliet, il 60435, usa"
"476","JIFFY LUBE 2913","R MIDWEST INC","889",2021,NA,NA,"RT 59",NA,NA,NA,"PLAINFIELD","IL","60586",NA,"815-609-7238","T.WITWICKI@HOTMAIL.COM","2021 RT 59 PLAINFIELD IL 60586",-88.2007268,41.5590365,"2021 illinois rte 59, plainfield, il 60586, usa"
"477","JIMMY JOHN'S 0097","SAMURA LLC","202",1108,NA,NA,"HOUBOLT","ROAD",NA,NA,"JOLIET","IL","60431",NA,"815-730-6048",NA,"1108 HOUBOLT JOLIET IL 60431",-88.167919,41.5019514,"1108 houbolt rd, joliet, il 60431, usa"
"478","JIMMY JOHNS 862","JS FORT GROUP INC","205",2311,NA,NA,"ESSINGTON","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-609-8202","FORTGROUP@ATT.NET","2311 ESSINGTON JOLIET IL 60435",-88.1625471,41.564851,"2311 essington rd, joliet, il 60435, usa"
"479","JITTERS COFFEEHOUSE","JITTERS COFFEEHOUSE INC","597",178,NA,"NORTH","CHICAGO","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-295-6299","GNDUFFY7@YAHOO.COM","178 CHICAGO JOLIET IL 60432",-88.0813358,41.5276164,"178 n chicago st, joliet, il 60432, usa"
"480","JJ FISH & CHICKEN","MIKE'S FISH & CHICKEN","848",1220,NA,NA,"RICHARDS","STREET","SUITE","B","JOLIET","IL","60433",NA,"815-726-9129","MAHERAHMAD@SBCGLOBAL.NET","1220 RICHARDS JOLIET IL 60433",-88.0699592,41.5018971,"1220 richards st, joliet, il 60433, usa"
"481","JOANN FABRIC 2220","JO-ANN STORES LLC","206",2741,NA,NA,"PLAINFIELD","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-254-5575","BUSINESSLICENSE@JOANN.COM","2741 PLAINFIELD JOLIET IL 60435",-88.1550214,41.5778925,"2741 plainfield rd, joliet, il 60435, usa"
"482","JODY'S HOT DOGS","ER LUEVANO ENTERPRISES INC","227",326,NA,NA,"REPUBLIC","AVENUE",NA,NA,"JOLIET","IL","60435",NA,"815-729-0251","JODYSFOODGROUP@GMAIL.COM","326 REPUBLIC JOLIET IL 60435",-88.1387274,41.52881,"326 republic ave, joliet, il 60435, usa"
"483","JOE'S BAR","SPIRIT OF SILVER LTD","541",4220,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60431",NA,"815-955-5894","PRAKASHSILVERI@YAHOO.COM","4220 JEFFERSON JOLIET IL 60431",-88.1835594,41.5217289,"4220 w jefferson st, joliet, il 60431, usa"
"484","JOE'S BEVERAGE WAREHOUSE","JEFFERSON LIQUORS INC","215",3001,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-730-7541","SHEIKAH633@SBCGLOBAL.NET","3001 JEFFERSON JOLIET IL 60435",-88.1554406,41.5223848,"3001 w jefferson st, joliet, il 60435, usa"
"485","JOE'S DOLLAR","JOE'S VARIETY DOLLAR INC","1759",111,NA,NA,"MCDONOUGH","STREET",NA,NA,"JOLIET","IL","60436",NA,"815-979-0886","NEVEINRIHAN@GMAIL.COM","111 MCDONOUGH JOLIET IL 60436",-88.0851337,41.5166532,"111 mcdonough st, joliet, il 60436, usa"
"486","JOE'S HOT DOGS","JOE'S HOTDOGS JOLIET LLC","1602",810,NA,NA,"PLAINFIELD","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-723-6375","JHUFF326@MSN.COM","810 PLAINFIELD JOLIET IL 60435",-88.1026234,41.5382854,"810 plainfield rd, joliet, il 60435, usa"
"487","JOHNNY'S","JOHNNY'S INC","2062",1008,NA,"NORTH","HICKORY","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-722-8117","MLLPOWELL55@GMAIL.COM","1008 HICKORY JOLIET IL 60435",-88.0867378,41.5423391,"1008 n hickory st, joliet, il 60435, usa"
"488","JOHNNY'S BEEF & GYROS","PITA PATIO INC","235",3567,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60431",NA,"815-725-1590","LIMENARI@SBCGLOBAL.NET","3567 JEFFERSON JOLIET IL 60431",-88.1692904,41.522742,"3567 w jefferson st, joliet, il 60431, usa"
"489","JOLIET AUTO CENTER","JOLIET AUTO CENTER","1931",101,NA,"EAST","JACKSON","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-774-9400","JOLIETAUTOCENTER@GMAIL.COM","101 JACKSON JOLIET IL 60432",-88.078072,41.5318354,"101 e jackson st, joliet, il 60432, usa"
"490","JOLIET AUTO INC","JOLIET AUTO INC","2150",500,NA,"EAST","JACKSON","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-409-7223","HAMZH58@YAHOO.COM","500 JACKSON JOLIET IL 60432",-88.0699783,41.5314271,"500 e jackson st, joliet, il 60432, usa"
"491","JOLIET AUTO RADIATOR SERVICE","JOLIET AUTO RADIATOR SERVICE","353",201,NA,NA,"PAGE","AVENUE",NA,NA,"JOLIET","IL","60432",NA,"815-722-3759","ANNE.MENARD@YMAIL.COM","201 PAGE JOLIET IL 60432",-88.087218,41.5266604,"billie limacher bicentennial park, 201 w jefferson st, joliet, il 60432, usa"
"492","JOLIET AUTO REPAIR SHOP","JOLIET AUTO REPAIR SHOP, INC","2065",350,NA,NA,"WARD","AVENUE","UNIT","A","JOLIET","IL","60432",NA,"815-409-7724","TORIANN23@HOTMAIL.COM","350 WARD JOLIET IL 60432",-88.0733954,41.5381765,"350 ward ave, joliet, il 60432, usa"
"493","JOLIET BAKERY DELI & LIQUORS","JOLIET BAKERY DELI & LIQUORS CORP","56",821,NA,NA,"PLAINFIELD","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-723-8210",NA,"821 PLAINFIELD JOLIET IL 60435",-88.1028401,41.5391911,"821 plainfield rd, joliet, il 60435, usa"
"494","JOLIET BP","GRAHAM C STORES CO","774",4802,NA,NA,"CATON FARM","ROAD",NA,NA,"PLAINFIELD","IL","60586",NA,"815-503-2288","JOHN@GRAHAMCSTORES.COM","4802 CATON FARM PLAINFIELD IL 60586",-88.2009172,41.5645391,"4802 caton farm rd, plainfield, il 60586, usa"
"495","JOLIET CITGO","JOLIET CITGO","1781",609,NA,NA,"RUBY","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-726-2888",NA,"609 RUBY JOLIET IL 60435",-88.0973076,41.5381245,"609 ruby st, joliet, il 60435, usa"
"496","JOLIET CITY TAVERN","JOLIET CITY TAVERN INC","1961",1329,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"630-863-1747","RANDYWISNIONSKI@YAHOO.COM","1329 JEFFERSON JOLIET IL 60435",-88.114851,41.5231389,"1329 w jefferson st, joliet, il 60435, usa"
"497","JOLIET COLUMBIAN CLUB","JOLIET COLUMBIAN CLUB","50",100,NA,"SOUTH","129TH INFANTRY","DRIVE",NA,NA,"JOLIET","IL","60436",NA,"815-725-0746","KOFC382@SBCGLOBAL.NET","100 129TH INFANTRY JOLIET IL 60436",-88.1494926,41.5205703,"100 129th infantry dr, joliet, il 60436, usa"
"498","JOLIET DIESEL TRUCK REPAIR","JOLIET DIESEL TRUCK REPAIR INC","2142",290,NA,NA,"ALESSIO","DRIVE",NA,NA,"JOLIET","IL","60433",NA,"815-274-2059","CHAGS78@GMAIL.COM","290 ALESSIO JOLIET IL 60433",-88.0729151,41.5001393,"290 alessio dr, joliet, il 60433, usa"
"499","JOLIET DISCOUNT ZONE","JOLIET DISCOUNT ZONE INC","1858",136,NA,"EAST","CASS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-630-2840","ALEXBASEM@YAHOO.COM","136 CASS JOLIET IL 60432",-88.0775472,41.527789,"136 e cass st, joliet, il 60432, usa"
"500","JOLIET DISPOSAL","JOLIET DISPOSAL INC","984",811,NA,NA,"ROWELL","AVENUE",NA,NA,"JOLIET","IL","60433",NA,"815-727-6500","CONTACT@JOLIETDISPOSALINC.COM","811 ROWELL JOLIET IL 60433",-88.062876,41.5088256,"811 rowell ave, joliet, il 60433, usa"
"501","JOLIET DOLLAR STORE PLUS","THE CLARK-ROGERS DOLLAR INC","891",451,NA,NA,"COLLINS","STREET","SUITE","B","JOLIET","IL","60432",NA,"815-727-3544","TDK3PL@HOTMAIL.COM","451 COLLINS JOLIET IL 60432",-88.0729717,41.5328701,"451 collins st, joliet, il 60432, usa"
"502","JOLIET FAIRFIELD INN & SUITES","NORTHSIDE MIDWEST HERITAGE INN OF JOLIET","1461",3239,NA,NA,"NORMAN","AVENUE",NA,NA,"JOLIET","IL","60431",NA,"217-855-2246","LICENSING@AIMHOSP.COM","3239 NORMAN JOLIET IL 60431",-88.162916,41.583515,"3239 norman ave, joliet, il 60431, usa"
"503","JOLIET FOOD & LIQUOR","JOLIET FOOD & LIQUOR","2141",1110,NA,NA,"HOUBOLT","ROAD",NA,NA,"JOLIET","IL","60431",NA,"224-622-8315","KIRANPANDYA55@YAHOO.COM","1110 HOUBOLT JOLIET IL 60431",-88.1679305,41.5019016,"1110 houbolt rd, joliet, il 60431, usa"
"504","JOLIET GOLF CLUB","ROC JOLIET CC LLC","2049",1009,NA,NA,"SPENCER","ROAD",NA,NA,"JOLIET","IL","60433",NA,"847-850-1818","DOUGRICCOLO@GMAIL.COM","1009 SPENCER JOLIET IL 60433",-88.0542499,41.4987326,"1009 w illinois hwy, joliet, il 60433, usa"
"505","JOLIET HOPE CENTER","JOLIET HOPE CENTER","892",511,NA,NA,"OAK LEAF","COURT","SUITE","A","JOLIET","IL","60436",NA,"815-302-4424","WSTILTNER@COMCAST.NET","511 OAK LEAF JOLIET IL 60436",-88.1317696,41.5124404,"511 oak leaf ct, joliet, il 60436, usa"
"506","JOLIET JEWELRY","JOLIET JEWELRY INC","849",568,NA,NA,"COLLINS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-722-4995","MARIAM.SALINAS@YAHOO.COM","568 COLLINS JOLIET IL 60432",-88.072419,41.535277,"568 collins st, joliet, il 60432, usa"
"507","JOLIET JUNIOR COLLEGE CITY CENTER CAMPUS","JOLIET JUNIOR COLLEGE","1785",235,NA,"NORTH","CHICAGO","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-727-6544","PURCHASING@JJC.EDU","235 CHICAGO JOLIET IL 60432",-88.08192,41.528582,"235 n chicago st, joliet, il 60432, usa"
"508","JOLIET LIQUORS","JOLIET LIQUORS INC","1695",120,NA,"SOUTH","LARKIN","AVENUE",NA,NA,"JOLIET","IL","60436",NA,"815-630-3449","KIRANPANDYA55@YAHOO.COM","120 LARKIN JOLIET IL 60436",-88.1240671,41.51942,"120 s larkin ave, joliet, il 60436, usa"
"509","JOLIET PARK DISTRICT SPLASH STATION","JOLIET PARK DISTRICT","792",2780,NA,NA,"CHANNAHON","ROAD",NA,NA,"JOLIET","IL","60436",NA,"630-864-8663",NA,"2780 CHANNAHON JOLIET IL 60436",-88.1453582,41.4870268,"2780 channahon rd, joliet, il 60436, usa"
"510","JOLIET PETROLEUM INC","JOLIET PETROLEUM INC","1988",1415,NA,NA,"PLAINFIELD","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-729-1420","NATIEH1@HOTMAIL.COM","1415 PLAINFIELD JOLIET IL 60435",-88.1173168,41.5493967,"1415 plainfield rd, joliet, il 60435, usa"
"511","JOLIET PLAZA INN & SUITES","PM HOSPITALITY LLC","2123",4200,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60431",NA,"815-725-0111","PANKAJMODI111@YAHOO.COM","4200 JEFFERSON JOLIET IL 60431",-88.1825646,41.5206294,"4200 w jefferson st, joliet, il 60431, usa"
"512","JOLIET PLAZA INN & SUITES","BEST BUDGET INN INVESTMENT LLC","762",4200,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60431",NA,"312-685-8511","KKP915@YAHOO.COM","4200 JEFFERSON JOLIET IL 60431",-88.1825646,41.5206294,"4200 w jefferson st, joliet, il 60431, usa"
"513","JOLIET SLAMMERS","JOLIET COMMUNITY BASEBALL & ENT LLC","1293",1,NA,NA,"MAYOR ART SCHULTZ","DRIVE",NA,NA,"JOLIET","IL","60432",NA,"815-722-2287","NSEMACA@JOLIETSLAMMERS.COM","1 MAYOR ART SCHULTZ JOLIET IL 60432",-88.0775566,41.5261875,"1 mayor art schultz dr, joliet, il 60432, usa"
"514","JOLIET SUPER WASH","SUPER WASH LIMITED PARTNERSHIP","352",1900,NA,NA,"ESSINGTON","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-439-2270","PAMELA.PERRON@SUPERWASH.COM","1900 ESSINGTON JOLIET IL 60435",-88.1605658,41.5555362,"1900 essington rd, joliet, il 60435, usa"
"515","JOLIET TERRACE","LAUREATE JOLIET OPERATIONS, LLC","2157",2230,NA,NA,"MCDONOUGH","STREET",NA,NA,"JOLIET","IL","60436",NA,"815-729-3801","AWALLACE@JOLIETCARE.COM","2230 MCDONOUGH JOLIET IL 60436",-88.1371453,41.5144402,"2230 mcdonough st, joliet, il 60436, usa"
"516","JOLIET TOWN AND COUNTRY LANES","JOLIET TOWN AND COUNTRY LANES","82",2231,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-725-1231","GJKONTOS44@YAHOO.COM","2231 JEFFERSON JOLIET IL 60435",-88.1363066,41.5232484,"2231 w jefferson st, joliet, il 60435, usa"
"517","JOLIET TRANSMISSION","JOLIET TRANSMISSION","893",145,NA,"EAST","CASS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-727-4542","JOLIETTRANSMISSTION@SBCGLOBAL.NET","145 CASS JOLIET IL 60432",-88.078028,41.5281639,"145 e cass st, joliet, il 60432, usa"
"518","JOLIET U-PULL-IT","ALL WILL COUNTY AUTO PARTS & WRECKERS","890",1014,NA,"EAST","WASHINGTON","STREET",NA,NA,"JOLIET","IL","60433",NA,"815-723-3011","PAYSCRAP@YAHOO.COM","1014 WASHINGTON JOLIET IL 60433",-88.0560742,41.5224678,"1014 e washington st, joliet, il 60433, usa"
"519","JOSE C ANDRADE JUNK PEDDLER","ANDRADE, JOSE C","939",1423,NA,NA,"HOSMER","STREET",NA,NA,"JOLIET","IL","60435",NA,"262-914-1703",NA,"1423 HOSMER JOLIET IL 60435",-88.1092494,41.5501036,"1423 hosmer st, joliet, il 60435, usa"
"520","JOSHUA ARMS OF LSSI","LUTHERAN SOCIAL SERVICES OF ILLINOIS","214",1315,NA,NA,"ROWELL","AVENUE",NA,NA,"JOLIET","IL","60433",NA,"815-727-6401","MARY.JENSEN@LSSI.ORG","1315 ROWELL JOLIET IL 60433",-88.062322,41.499661,"1315 rowell ave, joliet, il 60433, usa"
"521","JRT AMUSEMENTS","JRT AMUSEMENTS LLC","912",0,NA,NA,"OUT OF AREA",NA,NA,NA,NA,NA,NA,NA,"815-671-6430","KAYSER0703@SBCGLOBAL.NET","0 OUT OF AREA NA NA NA",NA,NA,NA
"522","JTD ENTERTAINMENT","JTD ENTERTAINMENT","913",0,NA,NA,"OUT OF AREA",NA,NA,NA,NA,NA,NA,NA,"815-790-2227","FUNZONE.ENTERTAINMENT@YAHOO.COM","0 OUT OF AREA NA NA NA",NA,NA,NA
"523","JUDGE'S BAR","CHICAGO TAVERN GROUP, LLC - JOLIET","26",35,NA,"EAST","CASS","STREET",NA,NA,"JOLIET","IL","60432",NA,"773-550-2684","JOHN@CHICAGOTAVERNGROUP.COM","35 CASS JOLIET IL 60432",-88.0804592,41.528068,"35 e cass st, joliet, il 60432, usa"
"524","JUGUIMAX","JUGUIMAX INC","1972",550,NA,"EAST","CASS","STREET","UNIT","B","JOLIET","IL","60432",NA,"815-671-1422","AMGONZALEZ748@GMAIL.COM","550 CASS JOLIET IL 60432",-88.0684128,41.5276545,"550 e cass st, joliet, il 60432, usa"
"525","JULIET'S","SAN BENEDETTO LLC","1372",205,NA,"NORTH","CHICAGO","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-630-5654",NA,"205 CHICAGO JOLIET IL 60432",-88.0819272,41.527958,"205 n chicago st, joliet, il 60432, usa"
"526","JUNK PEDDLER - AGUSTIN S LOPEZ","AGUSTIN S LOPEZ","1888",0,NA,NA,"OUT OF AREA",NA,NA,NA,NA,NA,NA,NA,"815-790-4092","LOPEZ069@SBCGLOBAL.NET","0 OUT OF AREA NA NA NA",NA,NA,NA
"527","JUNK PEDDLER - BRADLEY JOHNSON","JOHNSON, BRADLEY","927",0,NA,NA,"OUT OF AREA",NA,NA,NA,NA,NA,NA,NA,"815-325-3121",NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"528","JUNK PEDDLER - CARLOS GUZMAN","GUZMAN, CARLOS","931",624,NA,NA,"NICHOLSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"8157230084",NA,"624 NICHOLSON JOLIET IL 60435",-88.0937588,41.5359588,"624 nicholson st, joliet, il 60435, usa"
"529","JUNK PEDDLER - CRAIG EXLINE","EXLINE, CRAIG","922",1003,NA,"NORTH","CENTER","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-212-2782",NA,"1003 CENTER JOLIET IL 60435",-88.0909561,41.5190707,"s center st, joliet, il 60435, usa"
"530","JUNK PEDDLER - FRANCISCO J SANDOVAL","FRANCISCO J SANDOVAL","1956",0,NA,NA,"OUT OF AREA",NA,NA,NA,NA,NA,NA,NA,"815-905-5385",NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"531","JUNK PEDDLER - JAIME ROMO","ROMO, JAIME","1922",1014,NA,NA,"ALANN","DRIVE",NA,NA,"JOLIET","IL","60435",NA,"815-585-3176",NA,"1014 ALANN JOLIET IL 60435",-88.1217981,41.5420374,"1014 alann dr, joliet, il 60435, usa"
"532","JUNK PEDDLER - PEDRO GUZMAN","GUZMAN, PEDRO","921",567,NA,"EAST","BENTON","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-774-0685",NA,"567 BENTON JOLIET IL 60432",-88.0673819,41.5300568,"567 e benton st, joliet, il 60432, usa"
"533","JUNK PEDDLER - SAUL GUTIERREZ","GUTIERREZ, SAUL","2056",407,NA,NA,"BUELL","AVENUE","APARTMENT","2","JOLIET","IL","60435",NA,"815-280-8891",NA,"407 BUELL JOLIET IL 60435",-88.0916599,41.5288218,"407 buell ave, joliet, il 60435, usa"
"534","JUNK PEDDLER - VALENTIN P TENA","TENA, VALENTIN P","929",1110,NA,NA,"KELLY","AVENUE",NA,NA,"JOLIET","IL","60435",NA,"815-272-6376",NA,"1110 KELLY JOLIET IL 60435",-88.1000358,41.5440807,"1110 kelly ave, joliet, il 60435, usa"
"535","JUNK PEDDLER - VICTORIA SCHOMIG","SCHOMIG, VICTORIA","1981",0,NA,NA,"OUT OF AREA",NA,NA,NA,NA,NA,NA,NA,"815-671-8679",NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"536","K RIBS BBQ","K RIBS BBQ INC","2000",221,NA,"NORTH","CHICAGO","STREET",NA,NA,"JOLIET","IL","60432",NA,"630-301-4382","BLESSJKIM@MSN.COM","221 CHICAGO JOLIET IL 60432",-88.0819369,41.5282411,"221 n chicago st, joliet, il 60432, usa"
"537","KAFE DE KASA","ANGULO, NORMA","2144",1206,NA,NA,"PLAINFIELD","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-630-3694","NORMATERESA81@ICLOUD.COM","1206 PLAINFIELD JOLIET IL 60435",-88.1117614,41.5449757,"1206 plainfield rd, joliet, il 60435, usa"
"538","KALBOS INC","KALBOS INC","741",931,NA,NA,"PLAINFIELD","ROAD",NA,NA,"JOLIET","IL","60435",NA,"815-272-5248","KALBOSINC@COMCAST.NET","931 PLAINFIELD JOLIET IL 60435",-88.1061402,41.5415279,"931 plainfield rd, joliet, il 60435, usa"
"539","KALPETRO SHELL","KAL PETRO INC","2066",379,NA,"SOUTH","CHICAGO","STREET",NA,NA,"JOLIET","IL","60436",NA,"TBD","KALPETROINC@GMAIL.COM","379 CHICAGO JOLIET IL 60436",-88.0816984,41.5168304,"379 s chicago st, joliet, il 60436, usa"
"540","KART CIRCUIT AUTOBAHN","AUTOBAHN KARTING CIRCUIT , LLC","2097",3795,NA,NA,"CENTERPOINT","WAY",NA,NA,"ELWOOD","IL","60421",NA,"815-722-2223","ALANBERTAGNOLI@KARTCIRCUITAUTOBAHN.COM","3795 CENTERPOINT ELWOOD IL 60421",-88.1277493,41.4564928,"3795 centerpoint way, elwood, il 60421, usa"
"541","KAY JEWELERS 0077","STERLING JEWELERS INC","654",3340,NA,NA,"MALL LOOP","DRIVE","SPACE","1402","JOLIET","IL","60431",NA,"330-665-6564","STEVE.DIMICHELE@SIGNETJEWELERS.COM","3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"542","KB CITGO 7","KB OIL CORP","368",91,NA,NA,"AIRPORT","DRIVE",NA,NA,"JOLIET","IL","60431",NA,"630-424-0003","KBOIL6@YAHOO.COM","91 AIRPORT JOLIET IL 60431",-88.1807747,41.5208744,"91 airport dr, joliet, il 60431, usa"
"543","KFC/TACO BELL","FQSR LLC","1910",2221,NA,NA,"RT 59",NA,NA,NA,"PLAINFIELD","IL","60586",NA,"815-577-7161","543@KBPFOODS.COM","2221 RT 59 PLAINFIELD IL 60586",-88.2009362,41.5617117,"2221 illinois rte 59, plainfield, il 60586, usa"
"544","KFC/TACO BELL","FQSR LLC","1911",116,NA,"NORTH","LARKIN","AVENUE",NA,NA,"JOLIET","IL","60435",NA,"815-744-3499","553@KBPFOODS.COM","116 LARKIN JOLIET IL 60435",-88.1242387,41.5256093,"116 n larkin ave, joliet, il 60435, usa"
"545","KING AUTO FINANCE","KING AUTO FINANCE, INC","2159",701,NA,"EAST","JACKSON","STREET",NA,NA,"JOLIET","IL","60432",NA,"TBD","AUTOKINGJOLIET@GMAIL.COM","701 JACKSON JOLIET IL 60432",-88.0639452,41.5320285,"701 e jackson st, joliet, il 60432, usa"
"546","KING FISH & WING II","KING FISH & WING II","370",703,NA,"EAST","JACKSON","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-727-7123",NA,"703 JACKSON JOLIET IL 60432",-88.0635252,41.5318653,"703 e jackson st, joliet, il 60432, usa"
"547","KJI AUTO REPAIR","BERNARD, PATRICK","818",1403,NA,NA,"PLAINFIELD","ROAD","UNIT","C","JOLIET","IL","60435",NA,"815-741-9691","KJIAUTOREPAIR1403@GMAIL.COM","1403 PLAINFIELD JOLIET IL 60435",-88.1165819,41.5490712,"1403 plainfield rd, joliet, il 60435, usa"
"548","KLEINHOFFER MFG & REPAIR INC","KLEINHOFFER MFG & REPAIR INC","746",1852,NA,NA,"TERRY","DRIVE",NA,NA,"JOLIET","IL","60436",NA,"815-725-3638","KLEINHOFFERMFG.@OUTLOOK.COM","1852 TERRY JOLIET IL 60436",-88.1419867,41.4881618,"1852 terry dr, joliet, il 60436, usa"
"549","KNEADED RELIEF THERAPEUTIC MASSAGE","KARGES, CYNDI","242",1212,NA,"WEST","JEFFERSON","STREET",NA,NA,"JOLIET","IL","60435",NA,"815-474-5818","KNEADED1@AOL.COM","1212 JEFFERSON JOLIET IL 60435",-88.111352,41.5227379,"1212 w jefferson st, joliet, il 60435, usa"
"550","KNIGHTS OF COLUMBUS 4400","1813 BUILDING CORPORATION","87",1813,NA,"EAST","CASS","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-723-3827","KC4400@YAHOO.COM","1813 CASS JOLIET IL 60432",-88.0366525,41.5315478,"1813 e cass st, joliet, il 60432, usa"
"551","KNUDSON AUCTIONS & APPRAISALS","KNUDSON, JOHN","681",3601,NA,NA,"WILDWOOD","DRIVE",NA,NA,"JOLIET","IL","60431",NA,"8157225088","JGKNUDSON@EARTHLINK.NET","3601 WILDWOOD JOLIET IL 60431",-88.1705095,41.5332989,"3601 wildwood dr, joliet, il 60431, usa"
"552","KRONO'S TIRE SHOP INC","KRONO'S TIRE SHOP INC","745",113,NA,NA,"BISSELL","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-630-9591","C.VACA@CMVACCOUNTING.COM","113 BISSELL JOLIET IL 60432",-88.0460894,41.5397073,"joliet, il 60432, usa"
"553","KUCHIES","ELDER, KATHRYN","1379",1356,NA,NA,"HOUBOLT","ROAD",NA,NA,"JOLIET","IL","60431",NA,"815-725-5002","KUCHIES@ATT.NET","1356 HOUBOLT JOLIET IL 60431",-88.1677571,41.49698,"1356 houbolt rd, joliet, il 60431, usa"
"554","KULA'S JEWELRY & LOAN","KULA'S JEWELRY & LOAN INC","282",174,NA,"NORTH","CHICAGO","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-723-5555","KOOLA1@AMERITECH.NET","174 CHICAGO JOLIET IL 60432",-88.0812875,41.5276084,"174 n chicago st, joliet, il 60432, usa"
"555","LA CATRINA BISTRO","HALCON SERVICES INC","2046",625,NA,"NORTH","HICKORY","STREET",NA,NA,"JOLIET","IL","60435",NA,"TBD","MARIEBRADY0@GMAIL.COM","625 HICKORY JOLIET IL 60435",-88.087874,41.5349938,"625 n hickory st, joliet, il 60435, usa"
"556","LA FITNESS SMOOTHIE BAR","RAVIN ENTERPRISES LLC","819",1745,NA,NA,"RT 59",NA,NA,NA,"PLAINFIELD","IL","60586",NA,"815-744-4065","RAVIN1995@SBCGLOBAL.NET","1745 RT 59 PLAINFIELD IL 60586",-88.2037341,41.5532711,"1745 illinois rte 59, plainfield, il 60586, usa"
"557","LA FUENTE DE LA SALUD","HERNANDEZ, JUAN CARLOS","1448",428,NA,"EAST","JACKSON","STREET",NA,NA,"JOLIET","IL","60432",NA,"815-593-0890","CHARLY-KAREL@HOTMAIL.COM","428 JACKSON JOLIET IL 60432",-88.0708226,41.5314434,"428 e jackson st, joliet, il 60432, usa"
