LOC.NO,LOC.STREET,LOC.CITY,LOC.STATE,LOC.ZIP,BUS.NAME,DBA,SSN,BUS.PHONE,LIC.TEXT2..LIC.1.,CHG.1.DESC..LIC.1.,CHG.1.LONG.DESC..LIC.1.,CYCLE.CODE..LIC.2.,CYCLE.DESC..LIC.2.,LIC.TEXT1..LIC.2.,LIC.TEXT2..LIC.2.,LIC.TEXT4..LIC.2.,CYCLE.DESC..LIC.3.,LIC.TEXT1..LIC.3.,LIC.TEXT2..LIC.3.,CHG.1.DESC..LIC.3.,CHG.1.LONG.DESC..LIC.3.,CYCLE.CODE..LIC.4.,CYCLE.DESC..LIC.4.,LIC.TEXT1..LIC.4.,LIC.TEXT2..LIC.4.,LIC.TEXT4..LIC.4.,CYCLE.CODE..LIC.5.,CYCLE.DESC..LIC.5.,LIC.TEXT1..LIC.5.,LIC.TEXT2..LIC.5.,QTY.STAT.CD..LIC.5.,QTY.CD.DESC..LIC.5.,address,lon,lat
2405,ESSINGTON,JOLIET,IL,60435,7 ELEVEN INC,7 ELEVEN 33905J,75-1085131,815-436-8708,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C PACKAGE,CLASS C,CLASS C PACKAGE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,2405 ESSINGTON JOLIET IL,-88.162486,41.5659567
3151,TONTI,JOLIET,IL,60431,TEXAS ROADHOUSE HOLDINGS LLC,TEXAS ROADHOUSE,31-1515794,815-577-9003,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,CLASS B,CLASS B PREMISES,,,,,,,,,,,,3151 TONTI JOLIET IL,-88.16254959999999,41.577995
2311,ESSINGTON,JOLIET,IL,60435,JS FORT GROUP INC,JIMMY JOHNS 862,20-1313948,815-609-8202,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,2311 ESSINGTON JOLIET IL,-88.1626057,41.5648451
2741,PLAINFIELD,JOLIET,IL,60435,JO-ANN STORES LLC,JOANN FABRIC AND CRAFT STORES 2220,34-0720629,815-254-5575,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PAINT SALES,,,,,,,,,,,,,,,,,,2741 PLAINFIELD JOLIET IL,-88.1549701,41.5779219
3241,CHICAGOLAND,JOLIET,IL,60431,OUTBACK STEAKHOUSE OF FLORIDA LLC,OUTBACK STEAKHOUSE #1424,59-2848217,815-267-3020,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,CLASS B,CLASS B PREMISES,,,,,,,,,,,,3241 CHICAGOLAND JOLIET IL,-88.1649217,41.5855071
1315,ROWELL,JOLIET,IL,60433,LUTHERAN SOCIAL SERVICES OF ILLINOIS,JOSHUA ARMS OF LSSI,36-3736904,815-727-6401,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,,,,,,,,,,,1315 ROWELL JOLIET IL,-88.0623003,41.4996995
3001,JEFFERSON,JOLIET,IL,60435,JEFFERSON LIQUORS INC,CARDINAL WINE & SPIRITS,16-1710528,815-730-7541,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C PACKAGE,,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,,,,,,,,,,,,3001 JEFFERSON JOLIET IL,-88.1555118,41.5225033
250,OTTAWA,JOLIET,IL,60432,JOLIET JUNIOR COLLEGE,RENAISSANCE CENTER,36-2638684,815-280-6640,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,,,,,,,250 OTTAWA JOLIET IL,-88.08310039999999,41.5287585
324,LARKIN,JOLIET,IL,60436,SAI GAS MART INC,SAI GAS MART,80-0721198,815-741-3191,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,324 LARKIN JOLIET IL,-88.1239713,41.515669
2006,JEFFERSON,JOLIET,IL,60435,KNORR ENTERPRISES,SIDELINES SPORTS BAR,85-0484969,815-725-1579,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS A PREMISES & PACKAGE,,,2006 JEFFERSON JOLIET IL,-88.1322172,41.5212299
2006,JEFFERSON,JOLIET,IL,60435,KNORR ENTERPRISES,SIDELINES SPORTS BAR,85-0484969,815-725-1579,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS A PREMISES & PACKAGE,,,2006 JEFFERSON JOLIET IL,-88.1322172,41.5212299
325,LARKIN,JOLIET,IL,60436,7 ELEVEN INC,7 ELEVEN 33879H,75-1085131,815-744-8511,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C PACKAGE,CLASS C,CLASS C PACKAGE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,325 LARKIN JOLIET IL,-88.1250871,41.515684
2424,JEFFERSON,JOLIET,IL,60435,WALMART STORES INC,WALMART SUPERCENTER 1256,71-0415188,815-744-7575,PAINT SALES/SHOP,PNTSL/SHP1,PAINT SALE/SHOP LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PUBLIC GARAGE,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL,EMPLOY,2424 JEFFERSON JOLIET IL,-88.14234909999999,41.51900200000001
1401,RT 59,JOLIET,IL,60431,WALMART STORES INC,WALMART #2956,71-0415188,815-609-3381,PAINT SALES/SHOP,PNTSL/SHP1,PAINT SALE/SHOP LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,WEAPONS DEALER,WEAPONS,WEAPONS DEALER LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PUBLIC GARAGE,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL,EMPLOY,1401 RT 59 JOLIET IL,-88.2027622,41.5474446
1532,RT 59,JOLIET,IL,60431,MNM LIQUOR INC,UNITED LIQUOR MART,77-0678260,815-254-5475,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C PACKAGE,,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,,,,,,,,,,,,1532 RT 59 JOLIET IL,-88.1993282,41.540799
326,REPUBLIC,JOLIET,IL,60435,ELIZABETH VILLARREAL,JODY'S HOT DOGS,22-3978393,815-729-0251,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,326 REPUBLIC JOLIET IL,-88.13864009999999,41.52881430000001
3111,THEODORE,JOLIET,IL,60435,JOLIET MARKET INC,JM JOLIET TOBACCO & LIQUORS,30-0691737,815-609-0500,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C PACKAGE,,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,,,,,,,,,,,,3111 THEODORE JOLIET IL,-88.1594587,41.55110759999999
501,CASS,JOLIET,IL,60432,BOB MARTIN AUTO SALES INC,BOB MARTIN AUTO SALES,,815-727-1128,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,,,,501 CASS JOLIET IL,-88.0697309,41.5281562
7851,CATON FARM,PLAINFIELD,IL,60586,WALGREEN CO.,WALGREENS #10425,36-1924025,847-527-4612,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C PACKAGE,,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,,,,,,,,,,,,7851 CATON FARM PLAINFIELD IL,-88.2744903,41.5647549
725,JEFFERSON,JOLIET,IL,60435,BOB MARTIN AUTO SALES INC,BOB MARTIN AUTO SALES,20-8061493,815-723-0027,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,,,,725 JEFFERSON JOLIET IL,-88.1004284,41.5239796
2300,RT 59,PLAINFIELD,IL,60586,TONY'S FINER FOODS ENTERPRISES INC,TONY'S FINER FOODS,45-4846000,847-809-2948,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C PACKAGE,CLASS C,CLASS C PACKAGE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,2300 RT 59 PLAINFIELD IL,-88.1986299,41.5633167
1102,COLLINS,JOLIET,IL,60432,ASHLEY'S U-PICK-A-PART LLC,ASHLEY'S U PICK A PART,27-1421924,815-460-3692,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-FOOD/SODA,,,,,,,,,,,,,,,,,,1102 COLLINS JOLIET IL,-88.0722469,41.54432610000001
3567,JEFFERSON,JOLIET,IL,60431,PITA PATIO INC,JOHNNY'S BEEF & GYROS,36-4351610,815-725-1590,CLASS O OUTDOOR/BEER GRD EARLY,CLASS O,CLASS O OUTDOOR/BEER GARDEN,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M VIDEO POKER ONLY,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS D PREMISES-BEER & WINE,,,3567 JEFFERSON JOLIET IL,-88.16924759999999,41.522771
3567,JEFFERSON,JOLIET,IL,60431,PITA PATIO INC,JOHNNY'S BEEF & GYROS,36-4351610,815-725-1590,CLASS O OUTDOOR/BEER GRD EARLY,CLASS O,CLASS O OUTDOOR/BEER GARDEN,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M VIDEO POKER ONLY,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS D PREMISES-BEER & WINE,,,3567 JEFFERSON JOLIET IL,-88.16924759999999,41.522771
100,BARNEY,JOLIET,IL,60435,ALEXANDER LUMBER CO,ALEXANDER LUMBER CO,,815-725-0030,PAINT SALES/SHOP,PNTSL/SHP1,PAINT SALE/SHOP LICENSE,,,,,,,,,,,,,,,,,,,,,,100 BARNEY JOLIET IL,-88.14244099999999,41.5246015
2701,PLAINFIELD,JOLIET,IL,60435,TARGET CORPORATION,TARGET STORE T0894,41-0215170,800-622-0650,PAINT SALES/SHOP,PNTSL/SHP1,PAINT SALE/SHOP LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C-D PACKAGE GOODS,BEER & WINE ONLY,,,,,,,2701 PLAINFIELD JOLIET IL,-88.1536857,41.5771379
901,HICKORY,JOLIET,IL,60435,"POWERS, LETICIA",LETY'S PLACE,57-1230861,815-727-1951,CLASS M VIDEO POKER ONLY,CLASS M VP,CLASS M VIDEO POKER ONLY,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS A PREMISES & PACKAGE,,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,901 HICKORY JOLIET IL,-88.0870255,41.5400826
901,HICKORY,JOLIET,IL,60435,"POWERS, LETICIA",LETY'S PLACE,57-1230861,815-727-1951,CLASS M VIDEO POKER ONLY,CLASS M VP,CLASS M VIDEO POKER ONLY,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS A PREMISES & PACKAGE,,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,901 HICKORY JOLIET IL,-88.0870255,41.5400826
455,OTTAWA,JOLIET,IL,60432,KC LEATHER CLEANERS INC,KC LEATHER CLEANERS INC,20-3947036,815-724-0360,DRY CLEANER,DRY CLEANR,DRY CLEANER LICENSE,,,,,,,,,,,,,,,,,,,,,,455 OTTAWA JOLIET IL,-88.08242849999999,41.5328191
2301,RT 59,PLAINFIELD,IL,60586,ALDI INC,ALDI INC 44,42-1051659,815-436-1120,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C-D PACKAGE GOODS,BEER & WINE ONLY,,,,,,,,,,,,,,,,,2301 RT 59 PLAINFIELD IL,-88.2016185,41.5634026
1212,JEFFERSON,JOLIET,IL,60435,"KARGES, CYNDI",KNEADED RELIEF THERAPEUTIC MASSAGE,,815-474-5818,MASSAGE SPA,MSSG SPA,MASSAGE SPA LICENSE,,,,,,,,,,,,,,,,,,,,,,1212 JEFFERSON JOLIET IL,-88.111352,41.5227379
773,BROADWAY,JOLIET,IL,60435,"YU, TAE HYEON",MID WEST WOOD,UNKNOWN,815-722-0522,PAINT SALES,PAINTSAL<1,PAINT SALES LICENSE,,,,,,,,,,,,,,,,,,,,,,773 BROADWAY JOLIET IL,-88.0854274,41.53807399999999
3080,HENNEPIN,JOLIET,IL,60431,ALDI INC,ALDI INC 45,42-1051659,815-436-0268,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C-D PACKAGE GOODS,BEER & WINE ONLY,,,,,,,,,,,,,,,,,3080 HENNEPIN JOLIET IL,-88.1560657,41.5732913
2450,RIDGE,PLAINFIELD,IL,60586,ALDI INC,ALDI INC 50,42-1051659,815-254-6742,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C-D PACKAGE GOODS,BEER & WINE ONLY,,,,,,,,,,,,,,,,,2450 RIDGE PLAINFIELD IL,-88.27455940000002,41.565894
674,MEEKER,JOLIET,IL,60432,DIAZ BROTHERS LLP,LOS DIAZ BAR AND LIQUORS,27-1185919,815-722-1000,CLASS M VIDEO POKER ONLY,CLASS M VP,CLASS M VIDEO POKER ONLY,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS A PREMISES & PACKAGE,,,,,,,,674 MEEKER JOLIET IL,-88.0650781,41.54053560000001
674,MEEKER,JOLIET,IL,60432,DIAZ BROTHERS LLP,LOS DIAZ BAR AND LIQUORS,27-1185919,815-722-1000,CLASS M VIDEO POKER ONLY,CLASS M VP,CLASS M VIDEO POKER ONLY,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS A PREMISES & PACKAGE,,,,,,,,674 MEEKER JOLIET IL,-88.0650781,41.54053560000001
3250,CHICAGOLAND,JOLIET,IL,60431,THE CEC ENTERTAINMENT INC,CHUCK E CHEESE'S 678,,815-744-2044,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,BUSINESS LICENSE,AMUSEMENT,AMUSEMENT,AMUSEMENT LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS D PREMISES-BEER & WINE,,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING AMUSEMENT,MACHN,MACHINE,3250 CHICAGOLAND JOLIET IL,-88.1638862,41.5850747
2302,ESSINGTON,JOLIET,IL,60435,HOT PAN LLC,HOT PAN NOODLES & DUMPLINGS,27-4014332,815-666-8137,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M VIDEO POKER ONLY,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS D PREMISES-BEER & WINE,,,2302 ESSINGTON JOLIET IL,-88.16094450000001,41.56380009999999
2600,JEFFERSON,JOLIET,IL,60435,BABE'S HOTDOGS INC,BABE'S HOT DOGS,36-3904595,815-744-7773,CLASS M VIDEO POKER ONLY,CLASS M VP,CLASS M VIDEO POKER ONLY,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS D PREMISES-BEER & WINE,,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-VIDEO POKER,MACHN,MACHINE,2600 JEFFERSON JOLIET IL,-88.1471092,41.5216228
2022,JEFFERSON,JOLIET,IL,60435,OLD FASHIONED PANCAKE HOUSE INC,OLD FASHIONED PANCAKE HOUSE,36-3597299,815-744-4748,CLASS E RESTAURANT OR HOTEL,CLASS E,CLASS E RESTAURANT OR HOTEL,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,2022 JEFFERSON JOLIET IL,-88.1323333,41.5220628
205,CLINTON,JOLIET,IL,60432,CHERLYNNE'S CHATEAU INC,CHERLYNNE'S CHATEAU,27-1010138,815-302-5813,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS E RESTAURANT OR HOTEL,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,205 CLINTON JOLIET IL,-88.0768137,41.5271643
205,CLINTON,JOLIET,IL,60432,CHERLYNNE'S CHATEAU INC,CHERLYNNE'S CHATEAU,27-1010138,815-302-5813,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS E RESTAURANT OR HOTEL,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,205 CLINTON JOLIET IL,-88.0768137,41.5271643
17,CENTER,JOLIET,IL,60436,PATRICK C HALEY MANSION INC,PATRICK C HALEY MANSION,36-4196544,815-726-6800,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS E RESTAURANT OR HOTEL,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,17 CENTER JOLIET IL,-88.09164659999999,41.5223294
35,CASS,JOLIET,IL,60432,"CHICAGO TAVERN GROUP, LLC - JOLIET",JUDGE'S BAR,45-4460622,773-550-2684,CLASS H EXTRA HOUR,CLASS H,CLASS H EXTRA HOUR,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M ENTERTAINMENT/VP,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS A PREMISES & PACKAGE,,,35 CASS JOLIET IL,-88.08045919999999,41.528068
15,RICHARDS,JOLIET,IL,60433,VICTORIAN MANOR INC,JACOB HENRY MANSION ESTATE,36-2742836,815-722-1420,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS E RESTAURANT OR HOTEL,CLASS E,CLASS E RESTAURANT OR HOTEL,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,15 RICHARDS JOLIET IL,-88.0744655,41.5232699
601,EASTERN,JOLIET,IL,60432,MARISCOS LA LAGUNA INC,MARISCOS LA LAGUNA,20-2561258,815-714-3649,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS E RESTAURANT OR HOTEL,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL,EMPLOY,601 EASTERN JOLIET IL,-88.0753332,41.5355024
601,EASTERN,JOLIET,IL,60432,MARISCOS LA LAGUNA INC,MARISCOS LA LAGUNA,20-2561258,815-714-3649,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS E RESTAURANT OR HOTEL,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL,EMPLOY,601 EASTERN JOLIET IL,-88.0753332,41.5355024
509,CHICAGO,JOLIET,IL,60432,PUERTO ESCONDIDO INC,PUERTO ESCONDIDO,27-2628250,815-727-5150,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS E RESTAURANT OR HOTEL,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,509 CHICAGO JOLIET IL,-88.0820667,41.5336746
500,CASS,JOLIET,IL,60432,SOM MUNOZ INC,TAQUERIAS ATOTONILCO,26-3547130,773-617-9262,CLASS E RESTAURANT OR HOTEL,CLASS E,CLASS E RESTAURANT OR HOTEL,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,500 CASS JOLIET IL,-88.06976399999999,41.5276881
500,CASS,JOLIET,IL,60432,SOM MUNOZ INC,TAQUERIAS ATOTONILCO,26-3547130,773-617-9262,CLASS E RESTAURANT OR HOTEL,CLASS E,CLASS E RESTAURANT OR HOTEL,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,500 CASS JOLIET IL,-88.06976399999999,41.5276881
